web-scraper-order,web-scraper-start-url,station-name-link,station-name-link-href,coordinates-link,coordinates-link-href,coordinates
"1625383282-443","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Aircraft","https://en.wikipedia.org/wiki/Aircraft_railway_station","37°52′00″S 144°45′39″E﻿ / ﻿37.8666°S 144.7609°E﻿ / -37.8666; 144.7609","https://geohack.toolforge.org/geohack.php?pagename=Aircraft_railway_station&params=37.8666_S_144.7609_E_region:AU-VIC_type:railwaystation","-37.8666"
"1625383081-367","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Cheltenham","https://en.wikipedia.org/wiki/Cheltenham_railway_station,_Melbourne","37°58′01″S 145°03′17″E﻿ / ﻿37.9670°S 145.0547°E﻿ / -37.9670; 145.0547","https://geohack.toolforge.org/geohack.php?pagename=Cheltenham_railway_station,_Melbourne&params=37.967_S_145.0547_E_type:railwaystation_region:AU-VIC","-37.967"
"1625382147-15","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Westona","https://en.wikipedia.org/wiki/Westona_railway_station","37°51′54″S 144°48′49″E﻿ / ﻿37.8651°S 144.8135°E﻿ / -37.8651; 144.8135","https://geohack.toolforge.org/geohack.php?pagename=Westona_railway_station&params=37.8651_S_144.8135_E_type:railwaystation_region:AU-VIC","-37.8651"
"1625382796-262","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Heatherdale","https://en.wikipedia.org/wiki/Heatherdale_railway_station","37°49′08″S 145°12′46″E﻿ / ﻿37.8189°S 145.2128°E﻿ / -37.8189; 145.2128","https://geohack.toolforge.org/geohack.php?pagename=Heatherdale_railway_station&params=37.8189_S_145.2128_E_type:railwaystation_region:AU-VIC","145.2128"
"1625382823-272","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Hartwell","https://en.wikipedia.org/wiki/Hartwell_railway_station","37°50′39″S 145°04′32″E﻿ / ﻿37.8441°S 145.0756°E﻿ / -37.8441; 145.0756","https://geohack.toolforge.org/geohack.php?pagename=Hartwell_railway_station&params=37.8441_S_145.0756_E_type:railwaystation_region:AU-VIC","145.0756"
"1625383092-372","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Chatham","https://en.wikipedia.org/wiki/Chatham_railway_station,_Melbourne","37°49′27″S 145°05′19″E﻿ / ﻿37.8242°S 145.0887°E﻿ / -37.8242; 145.0887","https://geohack.toolforge.org/geohack.php?pagename=Chatham_railway_station,_Melbourne&params=37.8242_S_145.0887_E_type:railwaystation_region:AU-VIC","145.0887"
"1625382475-140","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Oakleigh","https://en.wikipedia.org/wiki/Oakleigh_railway_station","37°54′02″S 145°05′18″E﻿ / ﻿37.9005°S 145.0883°E﻿ / -37.9005; 145.0883","https://geohack.toolforge.org/geohack.php?pagename=Oakleigh_railway_station&params=37.9005_S_145.0883_E_type:railwaystation_region:AU-VIC","145.0883"
"1625383021-346","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Dandenong","https://en.wikipedia.org/wiki/Dandenong_railway_station","37°59′24″S 145°12′35″E﻿ / ﻿37.9900°S 145.2098°E﻿ / -37.9900; 145.2098","https://geohack.toolforge.org/geohack.php?pagename=Dandenong_railway_station&params=37.99_S_145.2098_E_type:railwaystation_region:AU-VIC","145.2098"
"1625383016-344","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Darebin","https://en.wikipedia.org/wiki/Darebin_railway_station","37°46′30″S 145°02′19″E﻿ / ﻿37.7750°S 145.0385°E﻿ / -37.7750; 145.0385","https://geohack.toolforge.org/geohack.php?pagename=Darebin_railway_station&params=37.775_S_145.0385_E_type:railwaystation_region:AU-VIC","145.0385"
"1625382781-256","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Heyington","https://en.wikipedia.org/wiki/Heyington_railway_station","37°50′05″S 145°01′22″E﻿ / ﻿37.83472°S 145.02266°E﻿ / -37.83472; 145.02266","https://geohack.toolforge.org/geohack.php?pagename=Heyington_railway_station&params=37.83472_S_145.02266_E_type:railwaystation_region:AU-VIC","145.02266"
